industry,sub_sector,company,brand_or_cn_name,country_or_region,primary_china_city_focus,recruiting_url,roles_to_watch,benefit_or_filter_tags,notes
家具/家居/建材/生活方式,办公家具,MillerKnoll,Herman Miller/MillerKnoll,美国,上海,https://www.millerknoll.com/careers,销售; 空间设计; 渠道; 市场,商业保险; 带薪休假; 员工折扣; 弹性办公,设计家具小众赛道
家具/家居/建材/生活方式,办公家具,Steelcase,世楷,美国,上海,https://www.steelcase.com/careers/,销售; 空间解决方案; 设计; 项目,五险一金; 商业保险; 带薪休假; 培训,办公空间解决方案
家具/家居/建材/生活方式,厨卫,Kohler,科勒,美国,上海,https://www.kohlercompany.com/careers/,销售; 市场; 零售; 供应链; 设计,五险一金; 商业保险; 员工折扣; 奖金,厨卫品牌
家具/家居/建材/生活方式,建材/玻璃,Saint-Gobain,圣戈班,法国,上海,https://joinus.saint-gobain.com/en,销售; 工程; 研发; 供应链; EHS,五险一金; 商业保险; 带薪休假; 培训,建筑材料和高性能材料
家具/家居/建材/生活方式,涂料,AkzoNobel,阿克苏诺贝尔,荷兰,上海,https://careers.akzonobel.com/,销售; 市场; 研发; 供应链; 工厂,五险一金; 商业保险; 带薪休假; 奖金,涂料赛道
快消/食品饮料/日化,日化/食品,Unilever,联合利华,英国/荷兰,上海,https://careers.unilever.com/search-jobs/China/34155/2/1814991/35x86166/104x195397/50/2,品牌市场; 销售; 电商; 供应链; 管培生,五险一金; 商业保险; 产品福利; 绩效奖金,快消经典外企
快消/食品饮料/日化,日化/个人护理,P&G,宝洁,美国,上海/广州,https://www.pgcareers.com/search-jobs/China/936/2/1814991/35x86166/104x195397/50/2,品牌管理; 销售; 供应链; 研发; 管培生,五险一金; 商业保险; 产品福利; 培训体系,管培体系强
快消/食品饮料/日化,美妆,L'Oreal,欧莱雅,法国,上海,https://careers.loreal.com/en_US/jobs/SearchJobs/?3_110_3=18076,品牌; 电商; 零售; 市场; 供应链,五险一金; 商业保险; 员工内购; 绩效奖金,美妆赛道头部
快消/食品饮料/日化,美妆,Estee Lauder,雅诗兰黛,美国,上海,https://www.elcompanies.com/en/careers,品牌市场; 零售; 电商; 培训; 供应链,五险一金; 商业保险; 员工内购; 带薪休假,高端美妆
快消/食品饮料/日化,食品/咖啡/营养,Nestle,雀巢,瑞士,上海/北京,https://www.nestle.com/jobs/search-jobs,销售; 市场; 电商; 供应链; 研发,五险一金; 商业保险; 产品福利; 培训,含咖啡和宠物食品业务
快消/食品饮料/日化,零食,Mondelez,亿滋,美国,上海,https://www.mondelezinternational.com/careers/,销售; 市场; 电商; 供应链; 研发,五险一金; 商业保险; 产品福利; 奖金,奥利奥等品牌
快消/食品饮料/日化,咖啡零售,Starbucks,星巴克,美国,上海,https://www.starbucks.com.cn/careers/,门店运营; 区域管理; 供应链; 市场,五险一金; 商业保险; 员工饮品; Bean Stock,门店岗需看排班
奢侈品/时尚/运动零售,奢侈品集团,LVMH,LVMH,法国,上海,https://www.lvmh.com/talents/work-with-us/job-offers/,零售; 市场; CRM; 供应链; 财务,五险一金; 商业保险; 员工折扣; 奖金,覆盖多品牌
奢侈品/时尚/运动零售,奢侈品集团,Kering,开云,法国,上海,https://www.kering.com/en/talent/job-offers/,零售; 市场; 商品; CRM; 财务,五险一金; 商业保险; 员工折扣; 奖金,Gucci 等品牌
奢侈品/时尚/运动零售,珠宝/奢侈品,Richemont,历峰,瑞士,上海,https://jobs.richemont.com/,零售; CRM; 市场; 供应链; 财务,五险一金; 商业保险; 员工折扣; 奖金,Cartier/VC&A 等
奢侈品/时尚/运动零售,运动品牌,Nike,Nike,美国,上海,https://jobs.nike.com/search?location=China,零售; 市场; 电商; 供应链; 数据,五险一金; 员工折扣; 商业保险; 奖金,总部与门店岗位并存
奢侈品/时尚/运动零售,运动品牌,Adidas,阿迪达斯,德国,上海,https://jobs.adidas-group.com/search/?q=&locationsearch=China,零售; 市场; 电商; 商品; 供应链,五险一金; 员工折扣; 商业保险; 奖金,运动零售
金融/银行/保险/支付,银行/财富管理,HSBC,汇丰,英国/香港,上海,https://www.hsbc.com/careers/where-we-hire/china,银行运营; 财富管理; 风控; 科技; 合规,五险一金; 补充商业保险; 员工银行服务; 弹性办公,外资银行重点
金融/银行/保险/支付,银行,Standard Chartered,渣打,英国,上海,https://www.sc.com/en/global-careers/,企业金融; 风控; 合规; 科技; 运营,五险一金; 医疗保险; 员工银行服务; 灵活办公,外资银行
金融/银行/保险/支付,银行,Citi,花旗,美国,上海,https://jobs.citi.com/search-jobs/China/287/2/1814991/35x86166/104x195397/50/2,金融市场; 科技; 风控; 合规; 运营,五险一金; 商业保险; 员工银行服务; 奖金,金融市场和科技岗位
金融/银行/保险/支付,投行/资管,JPMorgan Chase,摩根大通,美国,上海,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/requisitions?location=China,投行; 资管; 科技; 运营; 风控,五险一金; 商业保险; 奖金; 健康福利,高质量金融岗位
金融/银行/保险/支付,投行/资管,Goldman Sachs,高盛,美国,上海/北京,https://www.goldmansachs.com/careers/,投行; 资管; 科技; 风控; 运营,五险一金; 商业保险; 奖金; 健康福利,竞争高
金融/银行/保险/支付,支付网络,Visa,Visa,美国,上海/北京,https://usa.visa.com/careers.html,支付; 数据; 风控; 销售; 产品,五险一金; 商业保险; 奖金; 弹性办公,支付网络
咨询/会计/专业服务,审计/咨询,PwC,普华永道,英国,上海,https://www.pwccn.com/en/careers.html,审计; 税务; 咨询; 风险; 科技,五险一金; 商业保险; 资格考试支持; 培训,四大之一
咨询/会计/专业服务,审计/咨询,Deloitte,德勤,英国,上海,https://www2.deloitte.com/cn/en/careers.html,审计; 咨询; 税务; 风险; 科技,五险一金; 商业保险; 专业资格支持; 培训,四大之一
咨询/会计/专业服务,审计/咨询,EY,安永,英国,上海,https://www.ey.com/en_cn/careers,审计; 咨询; 税务; 风险; 科技,五险一金; 商业保险; 专业资格支持; 培训,四大之一
咨询/会计/专业服务,审计/咨询,KPMG,毕马威,荷兰/英国,上海,https://kpmg.com/cn/en/home/careers.html,审计; 税务; 咨询; 风险; 科技,五险一金; 商业保险; 专业资格支持; 培训,四大之一
咨询/会计/专业服务,战略咨询,McKinsey,麦肯锡,美国,上海,https://www.mckinsey.com/careers/search-jobs,咨询顾问; 数据; 研究; 实施顾问,五险一金; 商业保险; 高强度培训; 奖金,竞争高
咨询/会计/专业服务,战略咨询,BCG,波士顿咨询,美国,上海,https://careers.bcg.com/,咨询顾问; 数据; 研究; 数字化,五险一金; 商业保险; 培训; 奖金,战略咨询
化工/材料/农业科学,化工/材料,BASF,巴斯夫,德国,上海,https://www.basf.com/global/en/careers,研发; 销售; 供应链; 工厂; EHS,五险一金; 商业保险; 带薪休假; 培训,化工头部
化工/材料/农业科学,化工/材料,Dow,陶氏,美国,上海,https://corporate.dow.com/en-us/careers.html,销售; 研发; 供应链; 工厂; 市场,五险一金; 商业保险; 带薪休假; 培训,材料方向
化工/材料/农业科学,特种材料,DuPont,杜邦,美国,上海,https://careers.dupont.com/,研发; 销售; 工程; 供应链; EHS,五险一金; 商业保险; 带薪休假; 奖金,特种材料
化工/材料/农业科学,高分子材料,Covestro,科思创,德国,上海,https://www.covestro.com/en/career,研发; 销售; 供应链; 工厂; 市场,五险一金; 商业保险; 带薪休假; 培训,材料公司
化工/材料/农业科学,农业/食品原料,Cargill,嘉吉,美国,上海,https://careers.cargill.com/,食品原料; 贸易; 供应链; 销售; 工厂,五险一金; 商业保险; 带薪休假; 培训,农业和食品原料
化工/材料/农业科学,营养/香精香料,DSM-Firmenich,帝斯曼-芬美意,荷兰/瑞士,上海,https://www.dsm-firmenich.com/corporate/careers.html,营养; 香精香料; 销售; 研发; 市场,五险一金; 商业保险; 带薪休假; 奖金,香精香料小众赛道
物流/航运/供应链,快递/供应链,DHL,DHL,德国,上海,https://careers.dhl.com/,物流运营; 供应链; 销售; 客服; 仓储,五险一金; 商业保险; 带薪休假; 班次福利,岗位多
物流/航运/供应链,航运/供应链,Maersk,马士基,丹麦,上海,https://www.maersk.com/careers,海运; 供应链; 客户服务; 销售; 运营,五险一金; 商业保险; 带薪休假; 培训,航运核心
物流/航运/供应链,国际货代,Kuehne+Nagel,德迅,瑞士,上海,https://jobs.kuehne-nagel.com/,货代; 销售; 运营; 客服; 关务,五险一金; 商业保险; 带薪休假; 奖金,货代头部
检测/认证/质量服务,检测认证,SGS,SGS,瑞士,上海,https://www.sgs.com/en/careers,检测工程师; 认证审核; 销售; 实验室,五险一金; 商业保险; 带薪休假; 培训,检测认证头部
检测/认证/质量服务,检测认证,Bureau Veritas,必维,法国,上海,https://group.bureauveritas.com/careers,审核员; 检测; 质量; 销售; 实验室,五险一金; 商业保险; 带薪休假; 培训,认证服务
检测/认证/质量服务,检测认证,TUV Rheinland,莱茵,德国,上海,https://www.tuv.com/world/en/careers.html,检测; 认证; 审核; 销售; 实验室,五险一金; 商业保险; 带薪休假; 培训,德系认证
检测/认证/质量服务,检测认证,TUV SUD,南德,德国,上海,https://www.tuvsud.com/en/careers,检测工程师; 审核员; 销售; 实验室,五险一金; 商业保险; 带薪休假; 培训,工业和消费品认证
酒店/旅游/航空/文旅,酒店,Marriott,万豪,美国,上海,https://jobs.marriott.com/,酒店运营; 前厅; 餐饮; 销售; 市场,五险一金; 员工价; 餐饮/班次福利; 培训,酒店岗位需看班次
酒店/旅游/航空/文旅,酒店,Hilton,希尔顿,美国,上海,https://jobs.hilton.com/,酒店运营; 销售; 餐饮; 前厅; 财务,五险一金; 员工价; 餐饮/班次福利; 培训,酒店集团
酒店/旅游/航空/文旅,文旅/媒体,Disney,迪士尼,美国,上海,https://www.disneycareers.com/,主题乐园运营; 市场; 供应链; 技术; 演艺,五险一金; 商业保险; 员工优惠; 班次福利,上海迪士尼相关
广告/媒体/市场研究/数据,广告传播集团,WPP,WPP,英国,上海,https://www.wpp.com/careers,广告; 公关; 策略; 客户经理; 创意,五险一金; 商业保险; 带薪休假; 项目奖金,集团入口
广告/媒体/市场研究/数据,消费者洞察,NielsenIQ,尼尔森IQ,美国,上海,https://nielseniq.com/global/en/careers/,数据分析; 客户成功; 咨询; 市场研究,五险一金; 商业保险; 弹性办公; 培训,零售数据
广告/媒体/市场研究/数据,市场研究,Kantar,凯度,英国,上海,https://www.kantar.com/careers,研究咨询; 数据分析; 客户经理; 品牌研究,五险一金; 商业保险; 带薪休假; 培训,市场研究
房地产/商业地产/设施管理,商业地产,JLL,仲量联行,美国/英国,上海,https://www.jll.com/en/careers,商业地产顾问; 设施管理; 估值; 项目管理,五险一金; 商业保险; 带薪休假; 奖金,商业地产外企
房地产/商业地产/设施管理,商业地产/设施管理,CBRE,世邦魏理仕,美国,上海,https://careers.cbre.com/,设施管理; 物业; 投资顾问; 项目管理,五险一金; 商业保险; 带薪休假; 奖金,设施管理岗位多
游戏/娱乐/内容平台,游戏研发,Ubisoft,育碧,法国,上海,https://www.ubisoft.com/en-us/company/careers,游戏开发; 美术; 发行; 测试; 项目管理,五险一金; 商业保险; 带薪休假; 员工游戏福利,上海有工作室基础
游戏/娱乐/内容平台,游戏,Electronic Arts,EA,美国,上海,https://www.ea.com/careers,游戏开发; 发行; 数据; 测试; 产品,五险一金; 商业保险; 带薪休假; 员工福利,岗位数量波动
